7:21,58,65,239,356,422,616,902,3028,3148
18:17,236,574,736,1693,2708,3731,4405,7196,13027
19:
36:8,17,22,72,116,226,273,298,493,518
37:3,8,13,15,25,54,60,61,65,84
41:3,15,45,58,162,645,650,701,3588,4326
42:76,84,109,131,245,354,654,767,3643,12444
43:1462,2379,2452,3011,3423,6049,34020,39872,80454,95842
44:6,8,10,15,32,294,409,429,669,780
45:8,84,193,787,1009,2351,4573,5494,5581,49882
46:3,18,22,42,53,58,72,76,109,162
59:10,15,29,32,58,81,152,155,162,182
60:18,931,952,1086,1412,4067,13531,21224,26350,54284
69:6,11,13,21,22,32,40,42,61,94
70:8,29,58,61,62,76,90,354,1103,1288
94:6,25,29,60,65,80,84,98,117,119
106:3,6,8,14,15,29,32,70,162,182
115:3,15,22,45,58,73,2751,13112,56020,80894
116:1462,2379,2733,3423,4017,4194,8283,22871,88915,89740
142:3,6,8,10,16,25,29,32,37,54
143:168,760,1124,1400,1460,20809
148:3,15,205,510,1490,1587,2640,5308,10344,13658
150:21,65,135,168,298,710,1400,1528,2103,5892
156:29,40,58,61,70,76,767,3643,6463,7585
161:22,84,135,162,168,182,273,294,409,1400
171:21,40,61,65,146,157,221,710,2566,3876
172:8,23,48,58,84,101,138,162,182,236
174:29,1462,8401,30368,57661,61997,79155,89752,96910,114352
177:11,70,3148,6708,6759,30710,37602,53575,62595,72250
196:3,40,61,146,157,221,224,294,345,2374
202:3,8,15,18,58,162,182,273,294,947
211:8,190,273,302,350,371,395,441,483,2635
217:3,15,17,58,76,767,3643,6463,7585,12444
220:48,899,2162,2763,11410,13849,17392,35594,45682,57247
223:40,58,135,168,1400,1528,2103,3148,6708,6759
224:866,2614,3544,4145,4390,5207,5537,6667,13896,22153
225:22,40,58,135,162,182,2751,13112,56020,80894
228:422,669,3058,16246,19323,34935,56663,64568,105832,121235
229:3,18,21,58,84,162,273,710,1102,1357
231:298,385,947,953,1131,1402,3092,7844,38231,53892
232:17,30,190,454,471,510,736,737
238:15,40,81,94,245,361,395,780,1205,1471
241:15,40,58,61,94,146,157,182,273,441
245:28,385,608,669,3092,6526,16246,19438,80555
249:892,1272,1377,2881,4862,45428,51725,70531,72964,100663
250:3,22,58,162,182,2318,2374,2798,24724,118487
253:17,94,357,450,542,875,891,6421,9284,24649
257:22,294,429,669,780,1550,2751,13112,56020,80894
272:385,3092,3176,3717,4035,4818,5847,8801,35597,105614
273:15,45,65,70,73,81,135,138,151,162
288:6,15,45,58,73,135,182,273,294,409
290:398,902,1382,2318,2500,2573,2582,2894,3011,4485
291:22,62,2751,3132,9846,13112,37629,56020,80894,83762
292:21,58,3148,6708,6759,30710,37602,53575,62595,72250
294:17,135,658,675,947,953,1131,1402,7635,8110
328:398,412,761,770,789,6894,13573,83433,106989,110221
331:866,3148,3544,6708,6759,30710,37602,53575,62595,72250
345:18016,18568,20616,21605,31198,47345,52006,54809,62080,71463
361:58,162,182,273,294,441,3148,6708,6759,15871
376:3148,6708,6759,16257,30710,37602,43214,53575,62595,72250
384:3,17,65,70,81,162,273,294,409,429
401:58,135,162,168,182,2751,5024,13112,56020,80894
402:21,65,162,182,294,710,1353,1996,4067,5586
410:94,450,533,542,616,790,1462,2379,3423,10909
448:3,58,70,81,96,162,182,273,294,2500
449:3,6,8,15,32,58,84,302,612,2379
450:3,10,11,15,16,18,29,30,39,42
452:32,327,433,682,4652,13523,16735,17108,53667,99626
476:354,2761,6052,6165,27817,31794,60080,85635,115029,118839
488:15,17,45,58,73,76,94,162,182,875
490:15,17,22,40,61,182,273,294,429,669
494:22,58,162,182,273,294,2751,13112,56020,80894
500:866,3044,3416,3648,3772,4392,7138,22610,25149,108469
514:15,17,45,73,162,364,542,792,902,1462
525:22,116,273,385,493,518,560,1272,4862,72964
535:17,21,65,135,182,224,294,710,1353,1996
536:3,22,58,76,947,2751,12451,13112,56020,80894
538:76,101,866,3176,3301,5024,36630,42292,51092,105614
539:58,162,273,385,875,2318,2798,3092,24724,118487
564:21,39,65,135,162,236,710,776,1353,1996
582:22,135,168,1400,1528,2103,2751,13112,56020,80894
585:17,21,65,245,373,535,616,710,1353,4164
590:21,236,371,910,1246,1527,1912,2500,2904,4067
601:94,278,301,354,380
618:21,65,616,669,2500,3438,16246,27295,66332,112934
624:96,1825,2330,2487,2792,2811,2843,8680,11518,24003
627:58,791,2421,5305,11913,18154,30991,34854,54281,62242
